-60,-33,60,394,278
-50,-33,60,394,288
-40,-33,60,394,298
-30,-33,60,394,308
-20,-33,60,394,318
-10,-33,60,394,328
0,-33,60,394,338
10,-33,60,394,348
20,-33,60,394,358
30,-33,60,394,368
40,-33,60,394,378
50,-33,60,394,388
60,-33,60,394,398
-60,-23,60,404,278
-50,-23,60,404,288
-40,-23,60,404,298
-30,-23,60,404,308
-20,-23,60,404,318
-10,-23,60,404,328
0,-23,60,404,338
10,-23,60,404,348
20,-23,60,404,358
30,-23,60,404,368
40,-23,60,404,378
50,-23,60,404,388
60,-23,60,404,398
-60,-13,60,414,278
-50,-13,60,414,288
-40,-13,60,414,298
-30,-13,60,414,308
-20,-13,60,414,318
-10,-13,60,414,328
0,-13,60,414,338
10,-13,60,414,348
20,-13,60,414,358
30,-13,60,414,368
40,-13,60,414,378
50,-13,60,414,388
60,-13,60,414,398
-60,-3,60,424,278
-50,-3,60,424,288
-40,-3,60,424,298
-30,-3,60,424,308
-20,-3,60,424,318
-10,-3,60,424,328
0,-3,60,424,338
10,-3,60,424,348
20,-3,60,424,358
30,-3,60,424,368
40,-3,60,424,378
50,-3,60,424,388
60,-3,60,424,398
-60,7,60,434,278
-50,7,60,434,288
-40,7,60,434,298
-30,7,60,434,308
-20,7,60,434,318
-10,7,60,434,328
0,7,60,434,338
10,7,60,434,348
20,7,60,434,358
30,7,60,434,368
40,7,60,434,378
50,7,60,434,388
60,7,60,434,398
-60,17,60,444,278
-50,17,60,444,288
-40,17,60,444,298
-30,17,60,444,308
-20,17,60,444,318
-10,17,60,444,328
0,17,60,444,338
10,17,60,444,348
20,17,60,444,358
30,17,60,444,368
40,17,60,444,378
50,17,60,444,388
60,17,60,444,398
-60,27,60,454,278
-50,27,60,454,288
-40,27,60,454,298
-30,27,60,454,308
-20,27,60,454,318
-10,27,60,454,328
0,27,60,454,338
10,27,60,454,348
20,27,60,454,358
30,27,60,454,368
40,27,60,454,378
50,27,60,454,388
60,27,60,454,398
-60,37,60,464,278
-50,37,60,464,288
-40,37,60,464,298
-30,37,60,464,308
-20,37,60,464,318
-10,37,60,464,328
0,37,60,464,338
10,37,60,464,348
20,37,60,464,358
30,37,60,464,368
40,37,60,464,378
50,37,60,464,388
60,37,60,464,398
