-420,-420,60,7,0
-370,-420,60,7,0
-320,-420,60,7,18
-270,-420,60,7,68
-220,-420,60,7,118
-170,-420,60,7,168
-120,-420,60,7,218
-70,-420,60,7,268
-20,-420,60,7,318
30,-420,60,7,368
-420,-370,60,57,0
-370,-370,60,57,0
-320,-370,60,57,18
-270,-370,60,57,68
-220,-370,60,57,118
-170,-370,60,57,168
-120,-370,60,57,218
-70,-370,60,57,268
-20,-370,60,57,318
30,-370,60,57,368
-420,-320,60,107,0
-370,-320,60,107,0
-320,-320,60,107,18
-270,-320,60,107,68
-220,-320,60,107,118
-170,-320,60,107,168
-120,-320,60,107,218
-70,-320,60,107,268
-20,-320,60,107,318
30,-320,60,107,368
-420,-270,60,157,0
-370,-270,60,157,0
-320,-270,60,157,18
-270,-270,60,157,68
-220,-270,60,157,118
-170,-270,60,157,168
-120,-270,60,157,218
-70,-270,60,157,268
-20,-270,60,157,318
30,-270,60,157,368
-420,-220,60,207,0
-370,-220,60,207,0
-320,-220,60,207,18
-270,-220,60,207,68
-220,-220,60,207,118
-170,-220,60,207,168
-120,-220,60,207,218
-70,-220,60,207,268
-20,-220,60,207,318
30,-220,60,207,368
-420,-170,60,257,0
-370,-170,60,257,0
-320,-170,60,257,18
-270,-170,60,257,68
-220,-170,60,257,118
-170,-170,60,257,168
-120,-170,60,257,218
-70,-170,60,257,268
-20,-170,60,257,318
30,-170,60,257,368
-420,-120,60,307,0
-370,-120,60,307,0
-320,-120,60,307,18
-270,-120,60,307,68
-220,-120,60,307,118
-170,-120,60,307,168
-120,-120,60,307,218
-70,-120,60,307,268
-20,-120,60,307,318
30,-120,60,307,368
-420,-70,60,357,0
-370,-70,60,357,0
-320,-70,60,357,18
-270,-70,60,357,68
-220,-70,60,357,118
-170,-70,60,357,168
-120,-70,60,357,218
-70,-70,60,357,268
-20,-70,60,357,318
30,-70,60,357,368
-420,-20,60,407,0
-370,-20,60,407,0
-320,-20,60,407,18
-270,-20,60,407,68
-220,-20,60,407,118
-170,-20,60,407,168
-120,-20,60,407,218
-70,-20,60,407,268
-20,-20,60,407,318
30,-20,60,407,368
-420,30,60,457,0
-370,30,60,457,0
-320,30,60,457,18
-270,30,60,457,68
-220,30,60,457,118
-170,30,60,457,168
-120,30,60,457,218
-70,30,60,457,268
-20,30,60,457,318
30,30,60,457,368
