-60,-33,60,-86.69271850585938
-50,-33,60,-86.3404769897461
-40,-33,60,-86.17495727539062
-30,-33,60,-85.61628723144531
-20,-33,60,-85.0137939453125
-10,-33,60,-86.19732666015625
0,-33,60,-104.84886169433594
10,-33,60,-104.48721313476562
20,-33,60,-105.1315689086914
30,-33,60,-105.58460998535156
40,-33,60,-102.48489379882812
50,-33,60,-101.014404296875
60,-33,60,-89.37232971191406
-60,-23,60,-88.6109619140625
-50,-23,60,-86.51063537597656
-40,-23,60,-87.6846923828125
-30,-23,60,-87.11793518066406
-20,-23,60,-87.03944396972656
-10,-23,60,-85.88493347167969
0,-23,60,-103.62037658691406
10,-23,60,-104.4697265625
20,-23,60,-106.8754653930664
30,-23,60,-102.65433502197266
40,-23,60,-104.58848571777344
50,-23,60,-105.60787200927734
60,-23,60,-104.20570373535156
-60,-13,60,-89.4020767211914
-50,-13,60,-88.96212768554688
-40,-13,60,-88.080322265625
-30,-13,60,-87.86312866210938
-20,-13,60,-86.96644592285156
-10,-13,60,-86.59729766845703
0,-13,60,-107.98684692382812
10,-13,60,-109.16167449951172
20,-13,60,-106.81365203857422
30,-13,60,-107.49700927734375
40,-13,60,-108.33021545410156
50,-13,60,-104.77665710449219
60,-13,60,-106.69427490234375
-60,-3,60,-88.67564392089844
-50,-3,60,-88.89833068847656
-40,-3,60,-88.53208923339844
-30,-3,60,-88.24436950683594
-20,-3,60,-86.877197265625
-10,-3,60,-86.79788208007812
0,-3,60,-105.11137390136719
10,-3,60,-107.87136840820312
20,-3,60,-103.82505798339844
30,-3,60,-106.67410278320312
40,-3,60,-104.92495727539062
50,-3,60,-108.06952667236328
60,-3,60,-82.96759033203125
-60,7,60,-89.27616119384766
-50,7,60,-90.26730346679688
-40,7,60,-88.43994903564453
-30,7,60,-88.1455307006836
-20,7,60,-87.50232696533203
-10,7,60,-87.00141906738281
0,7,60,-86.91878509521484
10,7,60,-86.06661987304688
20,7,60,-85.44181823730469
30,7,60,-85.310791015625
40,7,60,-84.58903503417969
50,7,60,-84.29090881347656
60,7,60,-83.604736328125
-60,17,60,-90.00556945800781
-50,17,60,-88.73783874511719
-40,17,60,-88.93598937988281
-30,17,60,-88.04924774169922
-20,17,60,-87.797119140625
-10,17,60,-87.2288589477539
0,17,60,-87.10379028320312
10,17,60,-86.16329956054688
20,17,60,-85.68429565429688
30,17,60,-85.70059967041016
40,17,60,-85.34699249267578
50,17,60,-84.89666748046875
60,17,60,-84.66197204589844
-60,27,60,-88.449951171875
-50,27,60,-90.10570526123047
-40,27,60,-88.24723815917969
-30,27,60,-88.44293212890625
-20,27,60,-87.68310546875
-10,27,60,-87.88711547851562
0,27,60,-87.3021011352539
10,27,60,-86.84162902832031
20,27,60,-86.47186279296875
30,27,60,-85.71369934082031
40,27,60,-86.13910675048828
50,27,60,-84.80929565429688
60,27,60,-84.6847915649414
-60,37,60,-89.03630065917969
-50,37,60,-89.20417785644531
-40,37,60,-88.14620971679688
-30,37,60,-88.33503723144531
-20,37,60,-88.52085876464844
-10,37,60,-88.20259857177734
0,37,60,-87.14603424072266
10,37,60,-87.34219360351562
20,37,60,-86.86537170410156
30,37,60,-86.21192169189453
40,37,60,-85.91619873046875
50,37,60,-85.86925506591797
60,37,60,-84.72907257080078
