-200,-200,30,-96.98906707763672
-150,-200,30,-145.78094482421875
-100,-200,30,-115.6642837524414
-50,-200,30,-148.7350616455078
0,-200,30,-149.76605224609375
50,-200,30,-150.70602416992188
100,-200,30,-89.17835998535156
150,-200,30,-88.60396575927734
200,-200,30,-90.9848403930664
250,-200,30,-90.3517837524414
-200,-150,30,-inf
-150,-150,30,-inf
-100,-150,30,-inf
-50,-150,30,-inf
0,-150,30,-97.00943756103516
50,-150,30,-92.06277465820312
100,-150,30,-90.5699462890625
150,-150,30,-88.0489730834961
200,-150,30,-90.79794311523438
250,-150,30,-97.08655548095703
-200,-100,30,-96.44659423828125
-150,-100,30,-104.23341369628906
-100,-100,30,-96.02102661132812
-50,-100,30,-100.107666015625
0,-100,30,-93.91180419921875
50,-100,30,-84.7349624633789
100,-100,30,-85.60285949707031
150,-100,30,-87.24768829345703
200,-100,30,-inf
250,-100,30,-inf
-200,-50,30,-106.85344696044922
-150,-50,30,-103.01905822753906
-100,-50,30,-inf
-50,-50,30,-104.17387390136719
0,-50,30,-93.1685791015625
50,-50,30,-82.5033950805664
100,-50,30,-90.67261505126953
150,-50,30,-90.37147521972656
200,-50,30,-99.2037353515625
250,-50,30,-inf
-200,0,30,-inf
-150,0,30,-91.3692855834961
-100,0,30,-inf
-50,0,30,-86.87442016601562
0,0,30,-72.9035873413086
50,0,30,-79.6846694946289
100,0,30,-96.5102767944336
150,0,30,-inf
200,0,30,-inf
250,0,30,-inf
-200,50,30,-97.978515625
-150,50,30,-89.75859069824219
-100,50,30,-96.07298278808594
-50,50,30,-94.00625610351562
0,50,30,-76.69073486328125
50,50,30,-83.67864990234375
100,50,30,-84.41752624511719
150,50,30,-inf
200,50,30,-inf
250,50,30,-inf
-200,100,30,-inf
-150,100,30,-101.43898010253906
-100,100,30,-87.32039642333984
-50,100,30,-80.58821868896484
0,100,30,-82.83876037597656
50,100,30,-91.9888916015625
100,100,30,-102.35360717773438
150,100,30,-inf
200,100,30,-inf
250,100,30,-inf
-200,150,30,-inf
-150,150,30,-inf
-100,150,30,-88.65036010742188
-50,150,30,-84.06401824951172
0,150,30,-87.8852767944336
50,150,30,-95.00302124023438
100,150,30,-inf
150,150,30,-98.06232452392578
200,150,30,-inf
250,150,30,-94.55245971679688
-200,200,30,-103.28121185302734
-150,200,30,-inf
-100,200,30,-88.16847229003906
-50,200,30,-88.1998062133789
0,200,30,-inf
50,200,30,-inf
100,200,30,-inf
150,200,30,-inf
200,200,30,-inf
250,200,30,-inf
-200,250,30,-102.14012908935547
-150,250,30,-inf
-100,250,30,-87.76873779296875
-50,250,30,-92.22924041748047
0,250,30,-inf
50,250,30,-inf
100,250,30,-inf
150,250,30,-inf
200,250,30,-inf
250,250,30,-inf
