GW:0, 409.208
GW:1, 404.929
GW:2, 411.102
GW:3, 406.591
GW:4, 407.75
GW:5, 409.197
GW:6, 404.706
GW:7, 408.725
GW:8, 407.769
GW:9, 406.331
GW:10, 404.928
GW:11, 408.002
GW:12, 410.151
GW:13, 408.264
GW:14, 409.211
GW:15, 403.252
GW:16, 407.538
GW:17, 408.475
GW:18, 411.34
GW:19, 411.082
GW:20, 407.775
GW:21, 408.264
GW:22, 403.001
GW:23, 405.654
GW:24, 411.552
GW:25, 408.027
GW:26, 405.613
GW:27, 404.204
GW:28, 404.687
GW:29, 406.587
GW:30, 405.388
GW:31, 409.438
GW:32, 403.99
GW:33, 406.332
GW:34, 408.97
GW:35, 406.813
GW:36, 408.716
GW:37, 409.209
GW:38, 409.673
GW:39, 406.338
GW:40, 407.546
GW:41, 408.025
GW:42, 409.927
GW:43, 404.712
GW:44, 403.968
GW:45, 406.361
GW:46, 411.33
GW:47, 406.831
GW:48, 408.949
GW:49, 407.793
GW:50, 410.633
GW:51, 406.569
GW:52, 404.44
GW:53, 405.409
GW:54, 406.348
GW:55, 410.426
GW:56, 410.181
GW:57, 407.528
GW:58, 409.694
GW:59, 409.201
GW:60, 407.064
GW:61, 407.307
GW:62, 407.072
GW:63, 409.663
GW:64, 407.778
GW:65, 409.668
GW:66, 405.4
GW:67, 409.41
GW:68, 406.106
GW:69, 408.51
GW:70, 408.501
GW:71, 406.576
GW:72, 409.437
GW:73, 407.777
GW:74, 406.807
GW:75, 407.772
GW:76, 408.954
GW:77, 408.748
GW:78, 408.973
GW:79, 408.257
GW:80, 404.683
GW:81, 410.849
GW:82, 407.77
GW:83, 410.651
GW:84, 407.555
GW:85, 409.436
GW:86, 411.829
GW:87, 408.242
GW:88, 405.867
GW:89, 406.827
GW:90, 412.038
GW:91, 406.573
GW:92, 406.578
GW:93, 407.765
GW:94, 407.527
GW:95, 409.681
GW:96, 406.817
GW:97, 406.089
GW:98, 407.53
GW:99, 406.573
