-200,-200,30,-110.49231719970703
-150,-200,30,-inf
-100,-200,30,-inf
-50,-200,30,-102.49596405029297
0,-200,30,-102.02336120605469
50,-200,30,-89.8331298828125
100,-200,30,-99.13020324707031
150,-200,30,-153.95982360839844
200,-200,30,-98.605224609375
250,-200,30,-inf
-200,-150,30,-91.09974670410156
-150,-150,30,-108.63850402832031
-100,-150,30,-99.59723663330078
-50,-150,30,-88.63292694091797
0,-150,30,-86.09544372558594
50,-150,30,-86.94672393798828
100,-150,30,-90.60276794433594
150,-150,30,-99.91952514648438
200,-150,30,-91.69688415527344
250,-150,30,-91.12246704101562
-200,-100,30,-83.99818420410156
-150,-100,30,-83.95317077636719
-100,-100,30,-79.91417694091797
-50,-100,30,-93.76265716552734
0,-100,30,-145.68402099609375
50,-100,30,-inf
100,-100,30,-97.50776672363281
150,-100,30,-96.16798400878906
200,-100,30,-91.19306945800781
250,-100,30,-141.44651794433594
-200,-50,30,-83.51683807373047
-150,-50,30,-80.8082275390625
-100,-50,30,-84.51345825195312
-50,-50,30,-94.93965148925781
0,-50,30,-95.36324310302734
50,-50,30,-101.02494049072266
100,-50,30,-89.50957489013672
150,-50,30,-inf
200,-50,30,-inf
250,-50,30,-inf
-200,0,30,-100.5164794921875
-150,0,30,-83.57247161865234
-100,0,30,-90.09034729003906
-50,0,30,-91.22196960449219
0,0,30,-86.64472961425781
50,0,30,-94.14940643310547
100,0,30,-96.28375244140625
150,0,30,-96.87752532958984
200,0,30,-inf
250,0,30,-inf
-200,50,30,-inf
-150,50,30,-94.64067077636719
-100,50,30,-92.11672973632812
-50,50,30,-inf
0,50,30,-100.18336486816406
50,50,30,-105.7399673461914
100,50,30,-inf
150,50,30,-inf
200,50,30,-inf
250,50,30,-inf
-200,100,30,-inf
-150,100,30,-107.01510620117188
-100,100,30,-92.77031707763672
-50,100,30,-inf
0,100,30,-92.56783294677734
50,100,30,-inf
100,100,30,-96.90170288085938
150,100,30,-inf
200,100,30,-inf
250,100,30,-inf
-200,150,30,-inf
-150,150,30,-inf
-100,150,30,-106.50244903564453
-50,150,30,-95.99081420898438
0,150,30,-96.55987548828125
50,150,30,-105.21043395996094
100,150,30,-inf
150,150,30,-inf
200,150,30,-inf
250,150,30,-140.0531768798828
-200,200,30,-101.8105239868164
-150,200,30,-inf
-100,200,30,-151.4459991455078
-50,200,30,-145.70138549804688
0,200,30,-inf
50,200,30,-inf
100,200,30,-inf
150,200,30,-inf
200,200,30,-inf
250,200,30,-inf
-200,250,30,-107.28343200683594
-150,250,30,-inf
-100,250,30,-inf
-50,250,30,-91.06037902832031
0,250,30,-inf
50,250,30,-inf
100,250,30,-inf
150,250,30,-inf
200,250,30,-inf
250,250,30,-inf
